trial_id,execution_status,metrics_status,execution_succeeded,objective_eligible,runtime_seconds,exit_code,timed_out,param.learning_rate,param.hidden_size,param.epochs,param.batch_size,metric.training_time_seconds,metric.validation_accuracy,metric.validation_loss,error_message
0,completed,valid,True,True,2.535427400143817,0,False,0.07741820925074075,85,47,16,1.0669032998848706,0.8999999761581421,0.1477450430393219,
1,completed,valid,True,True,2.446504099993035,0,False,0.06976706610303046,111,24,8,0.9632425000891089,0.9666666388511658,0.11602771282196045,
2,completed,valid,True,True,2.357805899810046,0,False,0.09756467292851193,95,78,32,0.9345810001250356,0.8333333134651184,0.3572847247123718,
3,completed,valid,True,True,2.4302637001965195,0,False,0.012898551904287032,102,85,16,1.0316566000692546,0.9666666388511658,0.16796603798866272,
4,completed,valid,True,True,2.3954982000868767,0,False,0.03714272262083487,26,93,32,0.9663423001766205,0.8333333134651184,0.3463060259819031,
5,completed,valid,True,True,2.4033331000246108,0,False,0.08229388516575592,84,57,16,0.9754005998838693,0.8999999761581421,0.19324235618114471,
6,completed,valid,True,True,2.3322502998635173,0,False,0.022801148306299212,15,58,32,0.9083603001199663,0.9666666388511658,0.3767913579940796,
7,completed,valid,True,True,2.414204299915582,0,False,0.08278035408205896,11,31,16,0.9102590000256896,0.9666666388511658,0.18591423332691193,
8,completed,valid,True,True,2.4482347001321614,0,False,0.07583296523452886,91,39,8,0.9853447999339551,0.9666666388511658,0.10646952688694,
9,completed,valid,True,True,2.423429099842906,0,False,0.08932280002008755,125,70,32,0.9519825000315905,0.8666666746139526,0.28414127230644226,
10,completed,valid,True,True,2.460382199846208,0,False,0.01954440691441156,49,49,16,0.9704845000524074,0.9666666388511658,0.23455730080604553,
11,completed,valid,True,True,2.460108800092712,0,False,0.015513520257548027,9,76,32,0.9700696000363678,0.9666666388511658,0.4940832853317261,
12,completed,valid,True,True,2.549170200014487,0,False,0.07450173937519093,49,97,16,1.0910535000730306,0.8999999761581421,0.14648032188415527,
13,completed,valid,True,True,2.346241399878636,0,False,0.03710892463288341,44,12,16,0.9022766000125557,0.8333333134651184,0.41116365790367126,
14,completed,valid,True,True,2.3705945000983775,0,False,0.01902818877252014,61,17,32,0.8779120000544935,0.7666666507720947,0.5568323731422424,
15,completed,valid,True,True,2.4400824001058936,0,False,0.022768243970183323,63,59,32,0.9380389999132603,0.9666666388511658,0.2805280089378357,
16,completed,valid,True,True,2.62338969996199,0,False,0.04377147669534585,24,84,16,1.1060589000117034,1.0,0.08329594880342484,
17,completed,valid,True,True,2.485528399934992,0,False,0.0313054274740659,91,78,32,0.9541742999572307,0.9666666388511658,0.16834263503551483,
18,completed,valid,True,True,2.4634844998363405,0,False,0.08049595931393051,109,42,32,0.9132899998221546,0.9666666388511658,0.14250026643276215,
19,completed,valid,True,True,2.6385700001847,0,False,0.06828130084710006,40,66,8,1.1293118000030518,0.8333333134651184,0.3633761703968048,
