trial_id,param.learning_rate,param.hidden_size,param.epochs,param.batch_size,metric.validation_accuracy,metric.validation_loss,metric.training_time_seconds
1,0.06976706610303046,111,24,8,0.9666666388511658,0.11602771282196045,0.9632425000891089
6,0.022801148306299212,15,58,32,0.9666666388511658,0.3767913579940796,0.9083603001199663
7,0.08278035408205896,11,31,16,0.9666666388511658,0.18591423332691193,0.9102590000256896
8,0.07583296523452886,91,39,8,0.9666666388511658,0.10646952688694,0.9853447999339551
13,0.03710892463288341,44,12,16,0.8333333134651184,0.41116365790367126,0.9022766000125557
14,0.01902818877252014,61,17,32,0.7666666507720947,0.5568323731422424,0.8779120000544935
16,0.04377147669534585,24,84,16,1.0,0.08329594880342484,1.1060589000117034
18,0.08049595931393051,109,42,32,0.9666666388511658,0.14250026643276215,0.9132899998221546
